NCT ID,Study Title,Conditions,Inclusion Criteria,Exclusion Criteria,Interventions,Study Type,Overall Status
NCT00453947,Non-Invasive Ventilation in Pulmonary Edema,"Pulmonary Edema, Myocardial Infarction","* rapid onset of the symptoms
* severe dyspnoea at rest
* respiratory rate \> 30 breaths per minute
* use of accessory respiratory muscles
* oxygen saturation (SpO2) inferior to 90% with an inspiratory oxygen fraction of 60% via a Venturi mask
* radiological findings of ACPE","* acute ischemic heart disease (myocardial infarction, chest pain, ST elevation)
* hemodynamic instability (i.e. systolic blood pressure \< 90 with dopamine or dobutamine infusion ≥ 5 mcgr/Kg/min) or life-threatening arrhythmias
* need for immediate endotracheal intubation (respiratory arrest, bradypnea or gasping)
* inability to protect the airways
* impaired sensorium (i.e. unconsciousness or agitation)
* inability to clear secretions
* respiratory tract infection
* recent oesophageal/gastric surgery
* gastrointestinal bleeding
* facial deformities
* hematological malignancy or cancer with an Eastern Cooperative Oncology Group performance status ≥ 2
* chronic respiratory failure necessitating long-term oxygen therapy
* diagnosis of myocardial infarction, pulmonary embolism, pneumonia, exacerbation of chronic obstructive pulmonary disease, pneumothorax in the previous 3 months
* denial or refusal of intubation
* claustrophobia
* inclusion in other research protocols",CPAP and Non Invasive Ventilation,INTERVENTIONAL,COMPLETED
NCT00901277,Supporting Post Myocardial Infarction (MI) Risk Modification Intervention Via Telemedicine Evaluation,Cardiovascular Disease,"* Admitted to Duke University Medical Center (DUMC) with both the diagnosis of acute MI (ICD code 410.01-410.91) and hypertension (ICD-9 code 401.X or clinical diagnosis)
* A cardiac catheterization at DUMC within the past 3 years
* Age \> 18 years
* Established or planned follow-up with a primary care/cardiology provider within the Duke University Health System or its Affiliated Clinics","Medical Records Exclusion (occurs prior to mailing invitation):

* Diagnosis of metastatic cancer in the past 6 months
* Active diagnosis of psychosis or dementia
* Currently receiving hemodialysis
* Patients who have had a transplant

Patient-Level Exclusion (occurs at initial interview):

* Does not have access to a telephone
* Does not have access to a computer
* Refusal to provide informed consent
* Resident in nursing home or receiving home health care
* Severely impaired hearing or speech (patients must be able to respond to phone calls)
* Participating in another study (i.e., pharmaceutical trial)
* NYHA class IV heart failure
* Does not plan to have long-term follow-up with a primary care provider cardiologist","web intervention, nurse intervention",INTERVENTIONAL,COMPLETED
NCT01835353,"High (100mg) Versus Standard (60mg) Loading Dose of Prasugrel in Patients With ST-elevation Myocardial Infarction (STEMI), Undergoing Primary Percutaneous Coronary Intervention (PCI)",Platelet Reactivity,"* ST elevation myocardial infarction
* Pain onset \<12 hours
* Age \>18 and \<75 years
* Written informed consent","* history of stroke/transient ischemic attack
* oral anticoagulation
* hemodynamic instability
* platelet count \<100000/μL
* hematocrit \<30%
* creatinine clearance \<30 ml/min
* severe hepatic dysfunction
* active bleeding
* weight \<60 Kg
* periprocedural IIb/IIIa inhibitor administration","Prasugrel 100mg loading dose, Prasugrel 60mg loading dose",INTERVENTIONAL,COMPLETED
NCT04573751,The EPIVER Randomized Controlled Trial,"ST Elevation Myocardial Infarction, Percutaneous Coronary Intervention, No-Reflow Phenomenon","* patients with ST-elevation myocardial infarction
* Infarct-related artery TIMI flow grade 0-2 during the interventional procedure after the initial opening of the vessel.
* Written the informed consent to participate in research",* Unable to undergo or contra-indications for MRI or SPECT,"Standard therapy, Epinephrine, Verapamil, Epinephrine + verapamil",INTERVENTIONAL,COMPLETED
NCT00426751,Efficacy Of Eptifibatide Compared To Abciximab In Primary Percutaneous Coronary Intervention (PCI) For Acute ST Elevation Myocardial Infarction (STEMI),"Infarction, Myocardial","* Women must be postmenopausal (i.e.12 months without menstrual period), or surgically sterile, i.e. women of child bearing potential are not allowed to be included into the study. In cases of doubt a pregnancy test should be performed. (NB -post menopausal women currently receiving hormone replacement are permissible)
* Acute myocardial infarction \< 12 h defined as:

  1. Angina or equivalent symptoms \> 20 min and
  2. ST elevation in 2 contiguous ECG leads (= 2 mm precordial lead, = 1 mm limb lead). This ECG recording serves as baseline ECG, i.e. ECG I.
* Planned primary percutaneous coronary intervention
* The subject has given written informed, dated consent to participate in the study","* Subjects not able to give informed consent
* Left Bundle Branch Block
* Thrombolytic therapy within 24 hours before randomization
* Oral anticoagulation with International Normalized Ratio (INR) \> 2
* Known platelets \< 100.000/µl or known hemorrhagic diathesis
* Stroke or Transient Ischemic Attack (TIA) within the past 6 months or any permanent residual neurological defect
* Evidence of an active gastrointestinal or urogenital bleeding
* Major surgery within 6 weeks
* History of allergic reaction to abciximab or eptifibatide or any component used in the study (including contrast media)
* Known severe renal (creatinine clearance \<30ml/min) or hepatic insufficiency as well as Alanine transaminase (ALT)/aspartate transaminase (AST) elevations = 3xUpper limit normal (ULN); isolated AST-elevation is not considered an exclusion criteria from study participation
* Severe concomitant disease with life expectation \< 1 year
* Subject has participated in any study using an investigational drug or device within 30 days or within 5 half-lives of the investigational drug (whichever is longer) of entry into this study.
* Subjects who will be inaccessible due to geographic or social factors during treatment or follow-up
* In France, a subject is neither affiliated with nor a beneficiary of a social security category.","Abciximab, Eptifibatide",INTERVENTIONAL,COMPLETED
NCT03435133,Prasugrel vs. Ticagrelor on Myocardial Injury in STEMI,ST Elevation Myocardial Infarction,"* age 18 years or older and equal or less than 75 years
* symptom onset within 12 hours before random assignment
* chest pain lasting more than 30 minutes
* ST-segment elevation of at least 0.1 mV in at least 2 limb leads, ST-segment elevation of at least 0.2 mV in 2 or more contiguous precordial leads, or left bundle-branch block or paced rhythm
* time from symptoms onset to randomization less than 6 hours
* no severe heart failure (Killip class \<3)
* informed, written consent","* history of myocardial infarction with Q wave
* history of surgical or percutaneous coronary revascularization
* cardiogenic shock, defined as a systolic blood pressure \<90 mm Hg with no response to fluid administration or \<100 mm Hg in patients with supportive treatment and no bradycardia
* history of stroke
* history of bronchial asthma
* symtomatic sinusal bradicardia or advance AV block
* history of hypersensitivity to aspirin, prasugrel or ticagrelor or contraindication to the doses established in the study
* patients pretreated with 600 mg of clopidogrel or more
* contraindication for the use of gadolinium during the magenitc resonance","Prasugrel, Ticagrelor",INTERVENTIONAL,COMPLETED
NCT01398254,Femoral Versus Radial Access for Primary PCI,"Myocardial Infarction, STEMI","1. Ischemic chest discomfort of greater or equal to 30 minutes duration,
2. Onset of chest pain of greater or equal to 12 hrs prior to entry into the study,
3. ST segment elevation of \> 1 mm (0.1 mV) in two or more contiguous electrocardiographic leads (on a standard 12 lead ECG) or left bundle branch block not known to be old","1. Age \< 18 yrs
2. Active bleeding
3. Inadequate vascular access from the femoral arteries (i.e. severe peripheral vascular artery disease precluding right or left femoral approach)
4. Abnormal Allen's test precluding either right or left radial approach
5. PCI within the last 30 days
6. Fibrinolytic agents within the last 7 days
7. Warfarin, dabigatran or other oral anticoagulant within the last 7 days
8. Known coagulation disorder (i.e. INR \>2.0, platelets \<100,000 / mm3)
9. Allergy to aspirin
10. Participation in a study with another investigational device or drug \< four weeks
11. Known severe renal impairment (creatinine \>200 umol/L)\*
12. Known severe contrast (dye) allergy
13. Prior coronary artery bypass surgery
14. Inability to provide informed consent

    * Bivalirudin is contraindicated in renal failure.",Primary Percutaneous Coronary Intervention (PPCI),INTERVENTIONAL,COMPLETED
NCT02931045,Antiplatelet Therapy Effect on Extracellular Vesicles in Acute Myocardial Infarction,Myocardial Infarction,"* Age \> 18 years
* Informed consent to participate in the study
* Percutaneous coronary intervention with stent implantation due to first S T elevation myocardial infarction, or first non S T -elevation myocardial infarction
* Administration of a loading dose of clopidogrel","* Known coagulopathy
* Known history of bleeding disorder
* Suspicion of intracranial haemorrhage
* Need for oral anticoagulation therapy
* Administration of glycoprotein (GP) II b - III a antagonists
* Cardiogenic shock
* Severe chronic renal failure (estimated glomerular filtration rate \< 30 mL/min)
* Severe liver insufficiency
* Chronic dyspnea
* Increased risk of bradycardia
* Autoimmune disease
* Infectious disease
* Neoplasms
* Pregnancy
* Study drug intolerance
* Co-administration of ticagrelor or clopidogrel with strong CYP3A4 inhibitors
* Participation in any previous study with ticagrelor or clopidogrel","Ticagrelor, Clopidogrel",INTERVENTIONAL,COMPLETED
NCT04723953,Cardiac Fibroblast Activation Detected by 68Ga-FAPI PET/MR,Myocardial Remodeling After AMI,"* between 18-75 years old
* diagnosed with coronary angiography
* performed percutaneous coronary intervention，with successful myocardial reperfusion","* unstable hemodynamics
* MR contraindications (such as pacemaker or nerve stimulator or metal foreign body, high fever, severe renal failure, etc.)
* Claustrophobia",68Ga-FAPI PET/MRI,INTERVENTIONAL,COMPLETED
NCT00257153,Thrombus Aspiration Before Standard Primary Angioplasty Improves Myocardial Reperfusion in Acute Myocardial Infarction.,Acute Myocardial Infarction,* ST-segment elevation myocardial infarction patients undergoing primary angioplasty within 12 hours from symptom onset.,"* Cardiogenic shock, previous infarction, previous coronary bypass surgery,bundle branch block or pacemaker induced rythm, controindications to IIb/IIIa inhibitors.",Coronary thrombus aspiration catheter,INTERVENTIONAL,COMPLETED
NCT01584453,Safety and Effectiveness of Intra-coronary Nitrite in Acute Myocardial Infarction,"Myocardial Infarction, Reperfusion Injury, Myocardial Ischemia, Cardiovascular Diseases","* Patients aged at least 18 years
* Acute STEMI with ECG showing ST-segment elevation of 1mm or more in two adjacent limb leads or 2mm or more in at least two contiguous precordial leads or new left bundle branch block;
* Haemodynamically stable
* Estimated symptom to balloon or aspiration time \< 6 hours
* Angiographically i) PPCI indicated for revascularisation ii) Single epicardial artery to be treated iii) Expected ability to use over the wire balloon","* Patients on organic nitrate treatment (Nicorandil, isosorbide mononitrate)
* Previous history of AMI, systolic dysfunction or CABG
* Subjects presenting with cardiogenic shock (systolic blood pressure \<80 mmHg for \> 30 minutes, or requiring inotropes/emergency intra aortic balloon pump or cardiopulmonary resuscitation
* Current diagnosis of or treatment for malignancy, other than non-melanoma skin cancer.
* Current life-threatening condition other than vascular disease that may prevent a subject completing the study.
* Use of an investigational device or investigational drug within 30 days or 5 half-lives (whichever is the longer) preceding the first dose of study medication.
* Patients considered unsuitable to participate by the research team (e.g., due to medical reasons, laboratory abnormalities, or subject's unwillingness to comply with all study-related procedures).
* Severe acute infection, or significant trauma (burns, fractures).
* Pregnancy.
* Contra-indications to CMR scanning i) Pacemakers, intracranial clips or other metal implants ii) Claustrophobia iii) Renal failure (eGFR \< 30mls/min)
* History of alcohol or drug abuse within the past 6 months.
* History of congenital methaemoglobinaemia.
* Angiographically severe vessel tortuosity, diffuse disease or severe calcification which may impede successful delivery of the the over the wire balloon.","Sodium Nitrite, Sodium Chloride Placebo",INTERVENTIONAL,COMPLETED
NCT03400553,Troponin POCT in the Diagnosis of an Acute Myocardial Infarction,"Acute Myocardial Infarction, Troponin","* Non-traumatic thoracic pain
* Transportation via ambulance or MUG
* Written informed consent form (ICF) has to be obtained from the patient",* Age \<18 years,Blood analysis,INTERVENTIONAL,COMPLETED
NCT01523054,Metoprolol in Acute Myocardial Infarction. A PK/PD Study,Acute Myocardial Infarction,"* Male and female patients admitted to the CCU with suspected acute myocardial infarction
* Age 18 years or older
* Treated with and tolerated the full dose of metoprolol IR 50 mr four times daily or metoprolol CR/XL 200 mg once daily on study day 1
* Expected to stay in the CCU until the morning of study day 4
* Sinus rhythm on the day of admission and at randomisation","* Pregnancy or childbearing potential without adequate contraception
* Participation in a clinical study during the last 30 days or previous randomisation in the present study","Metoprolol- Toprol XL, Metoprolol- Lopressor",INTERVENTIONAL,COMPLETED
NCT04463251,Study to Evaluate the Effect on Parameters of Systemic Inflammation and Disease Outcomes and Safety of RPH-104 in Subjects With Acute ST-elevation Myocardial Infarction,Acute ST Segment Elevation Myocardial Infarction,"* Subjects who gave voluntary written Informed consent to participate in the study and to follow all Protocol procedures.
* STEMI diagnosis defined as chest pain or its equivalent with ECG findings evidencing ST elevation (\>1 mm) in two or more consecutive leads or acute left bunch branch block according the investigator's judgement.
* Percutaneous coronary intervention (PCI) with stenting was performed within no more than 12 hours after onset of chest pain or its equivalent and randomization was performed in no more than 12 hours after PCI (overall within 24 hours of onset of chest pain or equivalent).
* Consent of female subjects with childbearing potential defined as all female subjects with physiological potential to conceive, to use highly effective contraceptive methods throughout the study starting from screening (signing Informed Consent Form) and negative pregnancy test.

Highly effective contraceptive methods include combination of two of the following methods (a+b or a+c or b+c):

1. oral, injection or implanted hormonal contraceptives; in case of oral contraceptives, the female subjects should administer the same product for at least 3 months prior to the study therapy;
2. intrauterine device or contraceptive system;
3. barrier methods: condom or occlusive cap (diaphragm or cervical cap / vaginal fornix cap) with spermicidal foam/gel/film/cream/vaginal suppository

   * Ability and willingness of the subject, according to the reasonable investigator's judgment, to attend the study site at all scheduled visits, undergo the study procedures and follow the Protocol requirements including subcutaneous injections by qualified site personnel.","* Hypersensitivity to test product (RPH-104) and/or its ingredients/excipients.
* Pregnancy and breastfeeding.
* Verified chronic heart failure (The American Heart Association / The American College of Cardiology (AHA/ACC) C-D class, New York Heart Association (NYHA) Functional class (FC) III-IV)
* Pre-existing severe valvular heart disease according to the investigator's assessment.
* Pre-existing left ventricular (LV) dysfunction (ejection fraction (EF)\<40%)
* History of STEMI
* Complications of acute myocardial infarction (MI) in the form of acute left ventricular failure and cardiogenic shock defined as stable blood pressure decrease (SBP\<90 mm Hg) associated with signs of hypoperfusion as well as cases when inotropic and/or mechanical support is required to maintain SBP; and / or unstable hemodynamics.
* Active infections (acute or chronic); active tuberculosis.
* Recent (less than 5 half-life periods) or current administration of colchicine, as well as agents with an immunosuppressant mechanism of action, including, but not limited to:

glucocorticoids at doses of \> 1 mg/kg of methylprednisolone equivalent, tumor necrosis factor-alfa (TNFα) blockers, Interleukin-1 (IL-1) and other biological drugs, cyclosporine and other immunosuppressants. Non-steroidal anti-inflammatory drugs (NSAIDs) are allowed.

* Immunization with live vaccines within 90 days prior to the study product administration.
* Chronic systemic autoimmune or autoinflammatory diseases
* Suspected necessity in cardiosurgery.
* Oncology (or diagnosis of oncology within the last 5 years).
* History of organ transplantation or necessity in transplantation at the screening initiation or scheduled transplantation during the study.
* Neutropenia (absolute neutrophil count \<1800/mm\^3).
* Participation in another clinical study within the previous 3 months prior to Screening visit.
* Other medical (including mental) conditions or abnormal laboratory findings which may increase the risk for the subject associated with the study participation or administration of the study products or which may affect interpretation of the study results and, according to the investigator, render the subject ineligible for the study.\*

  \*If, in the Investigator's opinion, administration of a non-live COVID-19 (SARS-CoV-2) vaccine increases the risk for the patient related to his/her participation in the study, the Investigator can make a decision not to include this patient into the study.
* The subjects working at the study site or subjects working for Sponsor directly involved in this clinical study.","RPH-104 80 mg, Placebo",INTERVENTIONAL,COMPLETED
NCT01235351,Escalating Clopidogrel by Involving a Genetic Strategy - Thrombolysis In Myocardial Infarction 56,"Myocardial Infarction, Percutaneous Coronary Intervention","Inclusion Criteria (major):

1. Between 18 and 75 years of age, inclusive.
2. Have an indication for the use of clopidogrel defined as either spontaneous MI \[hospitalized with final diagnosis of MI, excluding periprocedural or definite secondary MI (e.g., due to anemia or hypertensive emergency)\] or PCI within the past 6 months.
3. Clinically stable and at least 4 weeks following the MI or PCI.","(major):

1. Conditions that alter platelet function.
2. Conditions that increase bleeding risk.","Clopidogrel, Clopidogrel",INTERVENTIONAL,COMPLETED
NCT01187654,Bone Marrow Derived AC 133+ and Mono-Nuclear Cells (MNC) Implantation in Myocardial Infarction (MI) Patient,Myocardial Infarction,"* BMI\> 30
* First acute MI in LAD territory
* St elevation MI
* Ejection fraction: 20-45%
* at least two non - mobile or less mobile segment of left ventricular myocard.
* Successful PCI with stenting","* Multivessel ceremony artery disease
* Pulmonary edema
* SBP \< 80 mmHg
* Thrombocytopenia (PLT \< 50, 000)
* INR \> 2
* Hepatic failure or dysfunction
* Renal failure or dysfunction
* Positive HIV Ab/ HBC Ab/ HCV Ab/ HSV Ag
* Documental terminal illness
* Documental Malignancy
* Patient with sever coronary disease and unstability of vital sign
* History of leukopenia, Anemia, hepatic or renal dysfunction or malignancy","AC133, MNC, CONTROL",INTERVENTIONAL,COMPLETED
NCT01529554,Controlled Level EVERolimus in Acute Coronary Syndromes,Acute Coronary Syndromes,"1. Elevation Myocardial Infarction (STEMI) as defined by:

   * ST-Elevation \> 1mm in \> 2 leads OR
   * Novel left bundle branch block (LBBB) OR
   * Posterior MI with ST-Depression \> 1mm in \> 2 leads
2. Chest pain duration of \> 10 minutes
3. Primary Coronary Intervention (PCI) with drug-eluting stent (DES) within 24 hours of chest pain onset in the occluded culprit artery
4. First Myocardial Infarction
5. Occluded coronary artery at angiography specifically occlusion of one coronary vessel in the proximal third of either LAD, RCX or RCA, the mid segment of right coronary artery (RCA) or mid segment of a large left anterior descending (LAD) coronary artery, i.e. when the latter reaches the apex.
6. Male and female patients 18 years to 90 years of age
7. Signed informed consent","1. Participation in another drug or stent trial
2. Pregnant women or nursing mothers
3. Mechanical complication during acute coronary syndrome
4. Scheduled PCI for additional lesion within 30 days
5. Multivessel disease
6. Major elective surgery planned in trial period
7. Malignancy (unless healed or remission \> 5 years)
8. Chronic infection (HIV, Tbc, empyema)
9. Severely compromised renal function (GFR\< 30 ml/min)
10. Positive PCR Test for SARS-CoV-2 and/or at least one positive answer to questions regarding symptoms/contact related to COVID-19.","Everolimus, Placebo",INTERVENTIONAL,COMPLETED
NCT00915733,Adjunctive Cilostazol Versus High Maintenance-dose ClopidogrEL in Acute Myocardial Infarction (AMI) Patients According to CYP2C19 Polymorphism,Myocardial Infarction,"1. The patient must be at least 18 years of age.
2. clinical symptoms compatible with acute myocardial ischemia within 12 h before admission with a subsequently documented increase in cardiac markers.
3. Measured pre-discharge platelet reactivity in case of normalized CK-MB value after coronary stenting.","1. A history of active bleeding and bleeding diatheses.
2. Oral anticoagulation therapy with coumadin.
3. Contraindication to antiplatelet therapy.
4. LV ejection fraction \< 30% or NYHA 3/4.
5. Leukocyte count \< 3,000/mm3 and/or platelet count \< 100,000/mm3.
6. AST or ALT ≥ 3 times upper normal.
7. Serum creatinine level ≥ 2.5 mg/dl.
8. Stroke within 3 months.
9. Non-cardiac disease with a life expectancy \< 1 year.
10. Inability to follow the protocol.","cilostazol, clopidogrel (Plavix), CYP2C19, aspirin (Acetylsalicylic acid)",INTERVENTIONAL,COMPLETED
NCT00785954,Safety and Efficacy Study of KAI-9803 to Treat Subjects With ST Elevation Myocardial Infarction [Heart Attack],"Myocardial Infarction, Cardiovascular Diseases, Pathologic Processes","* Acute STEMI and has a planned emergent primary PCI procedure
* Continuous symptoms of cardiac ischemia and present to the primary PCI facility within 6 hours of symptom onset",* Persistent systolic blood pressure \< 90 mm Hg,KAI-9803,INTERVENTIONAL,COMPLETED
NCT02298088,Ticagrelor in Patients With ST Elevation Myocardial Infarction Treated With Pharmacological Thrombolysis,"Acute ST Segment Elevation Myocardial Infarction, Thrombolysis in Myocardial Infarction Flow","* Patients of both sexes aged ≥ 18 years and \< 75 years with ACS with ST segment elevation with onset during the previous 24 hours, documented by cardiac ischemic symptoms due to atherosclerosis of \> 10 minutes duration at rest, treated with pharmacological thrombolysis
* Fibrinolytic therapy should be given to patients with STEMI and onset of ischemic symptoms within the previous 12 hours

Patients with acute coronary syndrome with ST segment elevation will be included provided they present ST segment elevation at the J point in two contiguous leads in electrocardiogram with cut-points: \> 0.1mV in all leads other than leads V2-V3, where the following cut points apply: \> 0.2 mV in men \> 40 years; \> 0.25 mV in men \< 40 years, or \>0.15 mV in women and at least 1 of the following criteria:

* Angina-like chest pain or ischemic equivalent chest pain;
* Abnormalities above the reference value for markers of myocardial necrosis (troponin and CK-MB).

The patient must be able to give informed consent in accordance with ICH GCP guidelines and local legislation and/or regulations.","* Any contraindication against the use of clopidogrel (eg, hypersensitivity, moderate or severe liver disease, active bleeding or bleeding history, history of intracranial hemorrhage)
* Need for oral anticoagulation therapy,
* Concomitant oral or IV therapy with strong CYP3A inhibitors (ketoconazole, itraconazole, voriconazole, telithromycin, clarithromycin, nefazodone, ritonavir, saquinavir, nelfinavir, indinavir, atazanavir, grapefruit juice N1 L/d), CYP3A substrates with narrow therapeutic indices (cyclosporine, quinidine), or strong CYP3Ainducers (rifampin/rifampicin, phenytoin, carbamazepine)
* Increased risk of bradycardia events
* Dialysis required
* Known clinically important thrombocytopenia
* Known clinically important anemia
* Any other condition that may put the patient at risk or influence study results in the investigators' opinion (eg, cardiogenic shock, severe hemodynamic instability, active cancer)
* Participant in another investigational drug or device study within 30 d
* Pregnancy or lactation
* Any condition that increases the risk for noncompliance or being lost to follow-up
* Involvement in the planning or conduct of the study
* Previous enrollment or randomization in this study
* Contraindications to fibrinolytic therapy including: 15

  * Any prior intracranial hemorrhage
  * Known structural cerebral vascular lesion (eg, Arterial Venous Malformation - AVM)
  * Known malignant intracranial neoplasm (primary or metastatic)
  * Ischemic stroke within 3 months
  * Suspected aortic dissection
  * Active bleeding or bleeding diathesis (excluding menses)
  * Significant closed head trauma or facial trauma within 3 months","Ticagrelor 180 mg, Clopidogrel",INTERVENTIONAL,COMPLETED
NCT01172171,The Effect of Melatonin on Ischemia-reperfusion Injury Following Acute Myocardial Infarction,"Acute Myocardial Infarction, Ischemia-reperfusion Injury","Inclusion criteria:

* Adults who are able to give informed consent
* 1 significant coronary occlusion (\>2mm) with TIMI 0-1 expected to undergo PCI.
* The occlusion must be ECG-verified with new ST-elevations ≥ 0.2 mV in V2-V3 and/or ≥ 0.1 in the other leads or a new onset left bundle branch block.
* Having onset of symptoms of qualifying AMI and undergo PCI within 6 hours.
* If the patients do not fulfill the ECG inclusion criteria they can still be included if the primary PCI reveals an acute coronary occlusion (\>2mm) with TIMI 0-1.",":

* Patients with prior myocardial infarction
* more than one significant occlusion
* prehospital thrombolysis
* known history of renal failure
* history of autoimmune diseases
* pregnancy, fertile women or breastfeeding
* severe concurrent illness with reduced short-term prognosis
* pacemaker
* claustrophobia
* cardiogenic shock
* metals in the body
* atrial fibrillation
* BMI ≥ 40.","Melatonin, N-acetyl-5-methoxytryptamine, Isotonic saline, Natrium chloride",INTERVENTIONAL,COMPLETED
NCT02217878,Influence of Morphine on Pharmacokinetics and Pharmacodynamics of Ticagrelor in Patients With Acute Myocardial Infarction,"ST-segment Elevation Myocardial Infarction, Non-ST-segment Elevation Myocardial Infarction, VA Drug Interactions","* provision of informed consent prior to any study specific procedures
* diagnosis of acute ST-segment elevation myocardial infarction or acute non-ST-segment elevation myocardial infarction
* male or non-pregnant female, aged 18-80 years old
* provision of informed consent for angiography and PCI","* chest pain described by the patient as unbearable or patient's request for analgesics
* prior morphine administration during the current STEMI or NSTEMI
* treatment with ticlopidine, clopidogrel, prasugrel or ticagrelor within 14 days before the study enrollment
* hypersensitivity to ticagrelor
* current treatment with oral anticoagulant or chronic therapy with low-molecular-weight heparin
* active bleeding
* history of intracranial hemorrhage
* recent gastrointestinal bleeding (within 30 days)
* history of coagulation disorders
* platelet count less than \<100 x10\^3/mcl
* hemoglobin concentration less than 10.0 g/dl
* history of moderate or severe hepatic impairment
* history of major surgery or severe trauma (within 3 months)
* patients considered by the investigator to be at risk of bradycardic events
* second or third degree atrioventricular block during screening for eligibility
* history of asthma or severe chronic obstructive pulmonary disease
* patient required dialysis
* manifest infection or inflammatory state
* Killip class III or IV during screening for eligibility
* respiratory failure
* history of severe chronic heart failure (NYHA class III or IV)
* concomitant therapy with strong CYP3A inhibitors (ketoconazole, itraconazole, voriconazole, telithromycin, clarithromycin, nefazadone, ritonavir, saquinavir, nelfinavir, indinavir, atazanavir) or strong CYP3A inducers (rifampicin, phenytoin, carbamazepine, dexamethasone, phenobarbital) within 14 days and during study treatment
* body weight below 50 kg","Morphine, Placebo, Ticagrelor",INTERVENTIONAL,COMPLETED
NCT00362778,Intensive Insulin Therapy in Non-diabetic Patients With Acute Myocardial Infarction and Hyperglycaemia,"Diabetes, Hyperglycemia, Acute Myocardial Infarction","1. Confirmed diagnosis of AMI, either with or without ST segment elevation
2. Presence of high blood glucose at admission with no previously known diabetes mellitus (DM)","1. Age under 18 years old
2. History of DM
3. Presence of other cardiopathies (dilated cardiomyopathy, valvular or hypertrophic heart disease)
4. Unstable AMI patients (haemodynamic instability or arrhythmic disorders)
5. Platelet aggregation or coagulation disorders
6. Severe conditions with an estimated short (under 1 year) life expectancy
7. Participation in other trials
8. Patient refusal to participate in the study",Insulin,INTERVENTIONAL,COMPLETED
NCT01569178,BAMI. The Effect of Intracoronary Reinfusion of Bone Marrow-derived Mononuclear Cells(BM-MNC) on All Cause Mortality in Acute Myocardial Infarction,"Myocardial Infarction, Death","* signed and dated informed consent form
* men and women of any ethnic origin aged≥18years
* patients with acute ST-elevation myocardial infarction as defined by the universal definition of AMI (including new LBBB)
* Patients with acute ST-elevation myocardial infarction as defined by the universal definition of AMI.
* Successful acute reperfusion therapy (residual stenosis visually \<50% and TIMI flow ≥2) within 24 hours of symptom onset or thrombolysis within 12 hours of symptom onset followed by successful percutaneous coronary intervention (PCI) within 24 hours after thrombolysis
* Left ventricular ejection fraction ≤ 45% with significant regional wall motion abnormality assessed by quantitative echocardiography (central, independent core lab analysis) 2 to 6 days after reperfusion therapy
* Open coronary artery suitable for cell infusion supplying the target area of abnormal wall motion","* Participation in another clinical trial within 30 days prior randomisation unless non interventional trials or trials where patients are randomised to only standard care and this has been discussed and agreed with the CI/sponsor prior to consenting
* Previously received stem/progenitor cell therapy
* Pregnant or nursing women
* Mental condition rendering the patient unable to understand the nature, scope and possible consequences of the study or to follow the protocol
* Necessity to revascularise additional vessels, outside the target coronary artery at the time of progenitor cell infusion (additional revascularisations after primary PCI and before BM-MNC cell infusion are allowed), unless clinically indicated and according to latest guidelines. This decision should be made at the time of the index procedure and explicitly stated at that time.
* Cardiogenic shock requiring mechanical support
* Platelet count \<100.000/µl, or hemoglobin \<8.5 g/dl
* Impaired renal function, i.e. creatinine \>2.5 mg/dl
* Fever or diarrhoea not responsive to treatment within 4 weeks prior screening
* Cliinically significant bleeding disorder within 3 months prior screening
* Uncontrolled hypertension (systolic \>180 mmHg and diastolic \>120 mmHg)
* Life expectancy of less than two years from any non-cardiac cause or uncontrolled neoplastic disease",Bone Marrow aspiration and intracoronary reinfusion,INTERVENTIONAL,COMPLETED
NCT00607178,The Efficacy of Influenza Vaccine in Reducing Cardiovascular Events in Patients With Coronary Artery Diseases,"Coronary Artery Diseases, Myocardial Infarction, Stable Angina","* Patients with the diagnosis of acute, evolving or recent MI (after recovered the acute phase) as defined by:

  1. Typical rise and gradual fall (troponin) or more rapid rise and fall (CK-MB) of biochemical markers of myocardial necrosis with at least one of the following:

     * Ischemic symptoms
     * Development of pathologic Qwaves on the ECG
     * ECG changes indicative of ischemia (ST segment elevation or depression); OR
     * Coronary artery intervention (e.g., coronary angioplasty).
  2. Pathologic findings of an acute MI \[12\]
* Patients with stable angina pectoris and documented coronary artery stenosis (angiography).","* Any acute disease
* Chronic liver or kidney diseases
* Conditions accompanied by immunosuppression (like organ transplantation, HIV)
* Diagnosed malignancy
* Incubation with influenza vaccine within the past 5 years
* Any psychological disease that interferes with regular follow-up
* Congestive heart failure (Killip class IV)
* Unstable angina, and contradictions of vaccine incubation (like egg allergy).","influenza vaccine, placebo for influenza vaccine",INTERVENTIONAL,COMPLETED
NCT02070471,"Phase 2 Study to Evaluate the Efficacy, Safety and PK of Intravenous Single Injection LC28-0126 Immediately Before PCI in STEMI Patients",ST-segment Elevation Myocardial Infarction,"* Age between 20 and 75
* Within 12 hours after the onset of chest pain
* ST-segment elevation of more than 0.1 mV in two contiguous leads or new LBBB(left bundle-branch block) patients
* Signed for written informed consent","* Left Main disease
* Multi-vessel disease","Placebo, LC28-0126 Dose A, LC28-0126 Dose B, LC28-0126 Dose C",INTERVENTIONAL,COMPLETED
